# MJD m dm
59451.326235 19.847000 0.604000
59451.331303 -22.623000 7.067000
59453.337940 19.882000 0.503000
59453.341142 21.821000 3.123000
59453.346653 19.085000 0.265000
59453.359035 20.452000 0.885000
59455.276609 19.771000 0.538000
59455.279837 19.617000 0.536000
59455.285372 19.371000 0.340000
59455.289515 19.174000 0.304000
59455.292739 18.846000 0.197000
59455.296889 19.965000 0.511000
59455.298276 23.573000 17.750000
59457.280606 22.444000 3.097000
59457.284271 20.494000 0.587000
59457.289757 20.339000 0.495000
59457.301216 -23.439000 8.333000
59461.267567 -20.459000 0.529000
59461.270771 -19.415000 0.231000
59461.276318 -19.662000 0.273000
59461.288256 -22.678000 3.765000
59465.246857 -21.396000 1.481000
59465.250075 21.767000 1.702000
59465.256054 22.032000 2.364000
59465.267522 -20.887000 0.873000
59467.291569 19.359000 0.312000
59467.294790 19.986000 0.431000
59467.300318 19.777000 0.432000
59467.312299 -23.446000 14.167000
59469.254190 19.256000 0.344000
59469.257408 19.961000 0.688000
59469.263385 19.152000 0.350000
59469.274888 21.518000 2.875000
59477.238822 20.702000 2.113000
59477.242488 19.383000 1.070000
59477.247979 -21.407000 4.392000
59477.258533 -20.739000 2.184000
59479.248298 20.152000 1.257000
59479.251521 19.171000 0.515000
59479.257061 19.649000 0.776000
59479.268608 -20.593000 2.035000
59481.221911 21.007000 1.537000
59481.226031 19.500000 0.352000
59481.232007 19.293000 0.332000
59481.242123 -20.564000 0.961000
59483.251897 19.966000 0.656000
59483.255585 19.129000 0.226000
59483.261116 19.500000 0.369000
59483.272178 19.311000 0.307000
59485.248266 19.381000 0.253000
59485.251490 19.462000 0.285000
59485.257013 20.105000 0.657000
59485.269866 20.360000 0.782000
59489.216825 19.831000 0.480000
59489.220482 19.353000 0.279000
59489.225994 20.143000 0.662000
59489.237064 19.677000 0.458000
59491.232567 20.112000 0.659000
59491.236254 22.146000 4.357000
59491.242239 19.658000 0.443000
59491.253339 18.750000 0.348000
59493.214315 20.716000 1.320000
59493.217976 23.034000 11.294000
59493.223934 19.549000 0.423000
59493.233999 20.593000 0.741000
59495.204953 19.169000 0.410000
59495.208172 19.602000 0.417000
59495.216011 21.964000 4.250000
59495.228456 19.101000 0.435000
59499.201042 17.844000 0.764000
59499.204268 20.351000 4.095000
59499.211636 0.000000 17.972000
59499.224546 -16.912000 0.912000
59501.203423 19.614000 0.492000
59501.206630 20.096000 0.970000
59501.212133 21.062000 2.175000
59501.226802 20.065000 1.020000
59509.197611 18.083000 2.278000
59509.200833 18.883000 1.687000
59509.208175 19.928000 1.251000
59509.220062 20.877000 3.636000
59515.194369 19.759000 1.353000
59515.197139 19.925000 1.138000
59515.202672 20.221000 0.956000
59515.215142 21.056000 2.325000
59616.115582 22.771000 8.462000
59616.119084 -20.654000 1.214000
59627.059516 21.433000 4.268000
59627.070055 -19.653000 0.650000
59627.073832 19.264000 0.624000
59627.080843 19.864000 1.033000
59628.640861 19.217000 0.383000
59628.646350 19.838000 0.913000
59628.663664 20.109000 1.024000
59628.668231 20.325000 1.269000
59637.352563 20.623000 1.303000
59637.372165 19.619000 0.444000
59637.381781 20.580000 0.959000
59637.389581 19.982000 0.673000
59638.631270 20.061000 0.464000
59638.642690 19.784000 0.406000
59638.654922 20.799000 1.258000
59638.660421 18.885000 0.470000
59653.350508 19.244000 0.502000
59653.353267 -23.875000 27.667000
59653.360985 21.705000 3.923000
59653.372136 -22.295000 9.500000
59656.061920 20.196000 0.914000
59656.071714 -20.810000 1.979000
59656.074902 21.468000 3.104000
59656.087439 -21.658000 4.478000
59658.605313 20.749000 1.687000
59658.609368 -19.693000 0.583000
59658.616260 -20.432000 1.227000
59658.633292 -21.670000 3.435000
59659.370651 20.372000 1.112000
59659.374057 19.565000 0.520000
59659.393373 19.891000 0.750000
59659.403452 19.833000 0.677000
59660.089781 18.710000 0.680000
59660.092992 -20.566000 3.270000
59665.395150 -20.763000 1.270000
59666.348635 20.317000 0.719000
59667.044687 -21.936000 1.714000
59667.048514 21.595000 1.281000
59667.062063 21.163000 0.770000
59667.071790 -22.481000 2.692000
59669.333871 20.330000 0.757000
59669.366405 20.110000 0.964000
59669.368655 -23.231000 12.200000
59669.393065 21.115000 1.776000
59673.292729 20.327000 1.099000
59673.299568 22.377000 7.161000
59673.330033 21.276000 1.727000
59673.333346 20.033000 0.677000
59674.306374 -22.826000 8.632000
59677.352469 19.570000 0.404000
59677.374195 20.814000 1.240000
59677.385518 20.283000 0.685000
59677.387868 19.727000 0.479000
59680.073014 20.393000 0.736000
59680.075906 -21.140000 1.697000
59680.096412 20.584000 0.864000
59680.102028 -21.005000 1.443000
59683.079770 -16.138000 0.682000
59683.089987 19.462000 1.285000
59685.274889 21.179000 2.886000
59685.283495 20.178000 0.971000
59685.286212 22.769000 11.107000
59685.298065 21.087000 1.985000
59686.282662 19.353000 0.459000
59687.075566 -19.012000 1.494000
59687.078942 19.318000 1.337000
59687.102154 -20.544000 1.535000
59693.352307 20.152000 0.598000
59693.387645 20.687000 1.112000
59693.417083 20.408000 0.976000
59693.420366 20.178000 1.244000
59694.337495 20.206000 0.861000
59694.341451 20.080000 0.556000
59694.347906 20.795000 1.294000
59694.360868 -23.182000 10.714000
59697.321483 22.653000 6.800000
59697.326622 20.433000 0.963000
59697.331269 -20.150000 0.758000
59697.331746 20.010000 11.180000
59697.341611 20.033000 0.660000
59697.351458 21.518000 4.493000
59698.272507 20.015000 0.652000
59698.275484 19.779000 0.651000
59698.303258 20.031000 0.898000
59698.309196 22.552000 7.259000
59699.032320 -20.561000 0.752000
59700.087450 -21.220000 1.872000
59700.091449 21.530000 2.462000
59700.099054 21.654000 2.847000
59700.110946 20.788000 1.177000
59701.271470 20.910000 1.271000
59701.276499 17.163000 0.726000
59701.279927 23.236000 20.900000
59701.293559 -18.363000 1.031000
59702.318235 21.349000 30.781000
59702.321395 20.163000 1.122000
59702.325790 19.608000 0.478000
59702.332958 19.482000 0.395000
59702.334867 21.013000 3.412000
59702.344660 20.130000 0.890000
59703.078882 22.477000 5.423000
59703.082142 21.255000 1.975000
59703.088372 20.306000 0.754000
59703.098545 0.000000 20.414000
59703.999559 19.974000 0.538000
59705.340629 19.927000 0.917000
59705.343552 17.132000 0.549000
59705.349153 21.148000 5.219000
59705.384806 18.808000 0.303000
59706.271915 19.527000 0.551000
59706.275271 21.048000 2.008000
59706.278164 19.368000 0.538000
59706.287693 19.704000 0.689000
59709.273753 -21.788000 4.871000
59709.279254 20.598000 1.585000
59709.281222 20.959000 2.074000
59709.288154 21.935000 3.923000
59710.323871 20.789000 1.415000
59710.328012 21.403000 2.182000
59710.334432 21.070000 1.762000
59710.347089 -19.525000 0.459000
59712.585575 21.237000 1.782000
59712.589229 -21.564000 1.946000
59712.596998 -19.872000 0.455000
59712.604829 20.880000 1.136000
59714.170027 21.536000 3.697000
59714.178477 -23.263000 20.067000
59714.181203 -20.355000 1.594000
59714.193960 20.587000 1.541000
59724.019341 -20.997000 1.139000
59724.022534 20.691000 0.909000
59724.028001 22.607000 5.522000
59724.040045 19.771000 0.326000
59725.221208 21.144000 2.471000
59725.229439 20.584000 1.118000
59725.238211 -20.695000 0.988000
59725.241191 21.133000 2.236000
59726.297529 22.044000 3.628000
59726.300971 20.542000 0.895000
59726.307290 20.904000 1.286000
59726.319583 19.989000 0.526000
59726.989090 -21.592000 2.267000
59726.992107 -22.056000 3.150000
59726.997223 20.875000 1.068000
59727.007953 -22.044000 2.769000
59730.973322 -21.671000 2.581000
59730.977122 20.129000 0.557000
59730.982562 -20.217000 0.586000
59730.993071 20.252000 0.732000
59735.002873 20.662000 1.625000
59735.006992 -16.993000 1.770000
59735.017248 19.789000 0.512000
59735.048228 19.650000 0.570000
59735.973460 -21.073000 1.711000
59735.977238 20.383000 0.757000
59735.982818 19.033000 0.210000
59735.995285 20.576000 0.842000
59737.227359 20.748000 0.895000
59737.236929 21.287000 1.568000
59737.241343 19.960000 0.557000
59737.251140 19.880000 0.672000
59741.162216 -21.989000 4.532000
59741.164857 -21.474000 3.111000
59741.167536 25.374000 92.000000
59741.172776 -21.787000 3.944000
59742.156019 -20.135000 1.258000
59742.161612 20.610000 1.287000
59742.165727 20.133000 1.121000
59742.172301 19.527000 0.513000
59749.194033 19.055000 0.329000
59749.196739 22.093000 4.436000
59749.202094 20.105000 0.718000
59749.213812 19.365000 0.510000
59766.232143 19.829000 0.454000
59766.235057 20.524000 0.825000
59766.241385 20.096000 0.584000
59766.252563 22.010000 3.900000
59766.924761 20.893000 1.077000
59766.927464 -21.447000 1.719000
59766.933133 20.521000 0.780000
59766.942931 20.586000 0.932000
59767.885038 20.000000 0.545000
59767.888581 19.769000 0.491000
59767.895311 21.085000 1.345000
59767.905758 23.653000 15.455000
59769.130205 19.788000 0.518000
59769.133888 20.481000 1.013000
59769.139311 20.362000 0.971000
59769.149798 -20.569000 0.985000
59775.901008 19.288000 0.532000
59775.904159 -19.371000 0.674000
59775.909759 24.578000 51.750000
59775.933059 -20.834000 1.574000
59781.118394 19.967000 0.445000
59781.130463 21.004000 1.238000
59782.152049 22.277000 3.977000
59782.156041 22.067000 4.089000
59782.163360 22.082000 2.815000
59782.176341 21.532000 2.878000
59785.149488 20.590000 0.687000
59785.152376 -21.305000 1.403000
59785.159810 20.090000 0.444000
59785.167865 19.897000 0.316000
59785.170797 20.705000 0.721000
59785.171260 20.692000 0.602000
59785.177351 22.126000 2.645000
59785.187939 -19.415000 0.211000
59786.101952 20.891000 1.429000
59786.105239 20.710000 0.902000
59786.111326 -21.392000 1.706000
59786.112678 20.516000 0.709000
59786.115605 21.317000 1.540000
59786.121534 -20.955000 1.030000
59786.123037 19.624000 0.388000
59786.131520 -19.490000 0.251000
59787.908222 -22.817000 6.778000
59787.912292 -21.018000 0.833000
59787.919055 22.382000 3.300000
59787.930310 -21.341000 1.273000
59789.090753 20.948000 0.951000
59789.094476 -21.342000 1.231000
59789.099890 -20.769000 0.725000
59789.104662 24.248000 18.000000
59789.107979 20.855000 0.835000
59789.112263 -20.529000 0.542000
59789.115497 -20.931000 0.722000
59789.125845 21.538000 1.511000
59790.125184 -22.706000 4.615000
59790.129286 0.000000 21.053000
59790.134881 -19.630000 0.467000
59790.892741 -20.737000 0.683000
59790.896609 -21.405000 1.094000
59790.902684 -21.667000 1.321000
59790.914078 -20.869000 0.684000
59791.823397 -21.887000 1.696000
59791.826420 -22.357000 2.742000
59791.833467 21.063000 0.818000
59791.844293 -24.595000 23.000000
59793.129811 23.224000 6.462000
59793.132521 21.694000 1.385000
59793.139292 -23.040000 5.250000
59793.158712 -24.540000 21.250000
59794.072161 -21.562000 1.872000
59794.075578 23.856000 16.333000
59794.084118 -20.648000 0.835000
59794.094333 -21.905000 2.853000
59795.869348 21.517000 2.134000
59795.872503 19.301000 0.217000
59795.879126 19.968000 0.518000
59795.889728 20.296000 0.599000
59797.079187 21.019000 1.500000
59797.082125 20.892000 1.318000
59797.088571 21.629000 2.827000
59797.121735 21.906000 3.614000
59802.102006 -19.161000 1.600000
59802.105772 18.675000 1.309000
59802.115874 -19.275000 1.965000
59802.122235 19.079000 1.126000
59805.088998 -22.507000 6.455000
59805.106190 -22.411000 6.432000
59805.109811 20.219000 0.687000
59805.117258 20.651000 1.000000
59806.140684 21.500000 2.768000
59806.145839 19.877000 0.540000
59806.149498 -20.557000 0.988000
59806.164545 20.077000 0.727000
59806.856599 25.642000 91.000000
59806.859912 20.858000 1.275000
59806.865081 20.905000 1.820000
59806.877417 -19.785000 0.680000
59807.799210 -23.008000 7.063000
59807.802664 21.273000 1.679000
59807.809784 -21.049000 1.265000
59807.820230 20.129000 0.456000
59809.106175 16.456000 0.012000
59809.110150 -21.337000 1.254000
59809.115696 -20.699000 0.567000
59809.127660 22.735000 3.947000
59810.051455 -21.747000 1.321000
59810.069167 -23.977000 14.571000
59810.071943 -20.932000 0.667000
59810.087893 21.852000 1.592000
59811.825661 -19.485000 0.345000
59811.829315 -20.038000 0.475000
59811.837683 -20.020000 0.598000
59811.849063 -22.469000 5.231000
59812.977168 -22.359000 3.625000
59812.978969 22.330000 2.731000
59812.982125 21.536000 1.250000
59812.999722 -23.022000 5.077000
59814.107531 15.708000 0.006000
59814.110718 -24.929000 30.000000
59814.127961 23.666000 8.778000
59814.134318 -21.876000 1.447000
59814.834244 20.193000 0.623000
59814.843064 20.550000 0.886000
59814.846246 18.932000 0.159000
59814.858010 21.184000 1.244000
59815.781984 20.601000 0.958000
59815.785144 -23.314000 12.222000
59815.786527 21.413000 1.915000
59815.790147 19.889000 0.631000
59815.790597 23.202000 9.000000
59815.796014 18.584000 0.196000
59815.807142 20.482000 0.840000
59817.089200 -22.957000 5.500000
59817.092380 20.947000 0.738000
59817.097826 21.815000 1.652000
59817.108183 -21.133000 0.966000
59818.029640 20.305000 0.424000
59818.032794 23.654000 10.286000
59818.038215 21.054000 0.842000
59818.048909 22.828000 4.571000
59818.756079 -20.142000 0.485000
59818.759232 20.533000 0.700000
59818.761938 19.617000 0.368000
59818.765099 21.116000 1.505000
59818.765549 -20.899000 1.027000
59818.773882 20.375000 0.635000
59818.776596 19.959000 0.461000
59819.825902 20.129000 0.589000
59819.828626 -20.483000 1.000000
59819.829076 21.260000 2.033000
59819.831784 20.245000 1.000000
59819.835448 -21.988000 4.143000
59819.837754 18.792000 0.269000
59819.856548 -19.344000 0.365000
59821.020616 22.188000 2.423000
59821.032695 -20.822000 0.685000
59821.035687 -20.813000 0.750000
59821.040654 -20.461000 0.511000
59822.079106 20.676000 0.675000
59822.082764 -22.386000 2.833000
59822.088249 21.082000 0.874000
59822.099448 -20.509000 0.619000
59823.759240 19.876000 0.660000
59823.762413 19.923000 0.594000
59823.767837 -23.854000 22.833000
59823.778701 19.701000 1.474000
59825.087085 19.654000 0.528000
59825.090250 -20.773000 1.411000
59825.095683 -19.926000 0.669000
59825.108563 19.320000 0.379000
59829.027695 21.263000 2.274000
59829.030880 19.503000 0.439000
59829.036782 19.699000 0.591000
59829.048384 20.367000 1.192000
59830.838170 -19.167000 0.570000
59830.841895 -20.639000 1.990000
59830.848032 22.943000 18.533000
59830.858014 19.183000 0.429000
59831.770461 23.208000 12.867000
59831.773663 -20.967000 2.035000
59831.780017 -23.027000 11.056000
59831.791097 20.975000 2.083000
59834.015172 20.055000 0.569000
59834.018344 19.592000 0.480000
59834.023645 19.899000 0.563000
59834.039665 19.863000 0.549000
59834.761429 -20.866000 1.154000
59834.768375 20.613000 1.133000
59834.772484 20.756000 0.904000
59834.785182 20.322000 0.556000
59835.810903 -22.916000 8.000000
59835.814106 20.288000 0.587000
59835.819697 20.293000 0.721000
59835.841241 21.099000 1.375000
59837.015904 -22.518000 4.129000
59837.019111 23.061000 6.882000
59841.052457 19.926000 0.416000
59841.059257 20.268000 0.711000
59841.062453 20.274000 0.651000
59841.075138 -20.262000 0.631000
59841.998744 22.959000 7.125000
59842.001446 20.756000 1.079000
59842.006401 19.929000 0.458000
59842.026488 21.373000 1.618000
59844.996276 20.226000 0.588000
59844.999048 20.341000 0.630000
59845.010183 19.515000 0.324000
59845.029301 22.695000 6.680000
59849.031838 -19.543000 1.078000
59849.035987 18.119000 0.934000
59849.055220 19.117000 0.518000
59849.061225 0.000000 18.428000
59849.984590 -18.907000 0.525000
59849.987293 21.372000 3.742000
59849.994051 -21.926000 5.303000
59850.008845 20.010000 3.622000
59850.736851 20.384000 0.539000
59850.740479 -21.739000 1.607000
59850.746523 -20.274000 0.488000
59850.756727 -21.970000 2.143000
59852.986814 -20.345000 1.414000
59853.002726 20.384000 0.921000
59853.013664 20.049000 0.688000
59855.731943 -18.228000 2.923000
59855.735097 18.135000 1.009000
59855.740583 18.328000 1.272000
59857.056725 20.227000 1.238000
59857.064880 -20.153000 1.458000
59857.068517 22.120000 7.708000
59857.078521 -19.560000 2.705000
59859.775522 20.271000 1.010000
59859.778674 19.616000 0.497000
59859.788712 21.991000 4.462000
59859.796076 -21.422000 2.955000
59862.025049 -19.494000 0.670000
59862.034173 -19.373000 0.635000
59862.037780 19.695000 0.723000
59862.050856 20.939000 2.615000
59865.032373 20.302000 0.721000
59865.035540 -21.568000 2.769000
59865.041850 20.938000 1.407000
59865.051856 19.479000 0.503000
59870.024309 -23.851000 15.600000
59870.027464 22.043000 2.960000
59870.032910 -20.234000 0.632000
59870.046077 -21.011000 1.309000
59873.016083 -21.156000 1.506000
59873.019235 -20.442000 0.548000
59873.029339 -21.543000 2.105000
59873.036210 -22.785000 5.941000
59875.750819 -18.129000 1.991000
59875.758071 -15.701000 0.504000
59878.013560 -21.110000 1.550000
59878.016718 -20.973000 1.611000
59878.023047 -20.862000 1.406000
59878.035760 -20.323000 0.793000
59883.757173 -21.861000 9.889000
59883.760842 19.489000 0.817000
59883.766387 20.203000 1.341000
59883.777911 19.428000 0.619000
59995.349735 21.246000 1.351000
59995.353341 -19.678000 0.362000
59995.360808 -18.779000 0.154000
59995.381373 23.680000 13.000000
60002.137082 20.671000 1.441000
60002.141995 -20.048000 1.238000
60002.144403 -20.278000 2.141000
60002.146317 18.529000 0.717000
60006.103720 22.637000 7.583000
60006.107346 -22.105000 3.622000
60006.113689 19.956000 0.471000
60006.139029 20.145000 0.769000
60010.378696 -23.759000 30.143000
60010.382791 20.574000 1.148000
60010.390578 -22.328000 6.538000
60010.398519 20.458000 1.109000
60011.316308 20.957000 2.398000
60011.319486 -23.978000 30.333000
60011.335619 -21.093000 2.857000
60011.341094 20.897000 1.746000
60014.113671 20.814000 1.842000
60014.123826 19.607000 0.446000
60014.138519 19.970000 0.640000
60014.143591 -20.319000 0.947000
60015.368432 20.847000 1.567000
60015.371590 21.409000 3.000000
60015.377091 -21.236000 2.537000
60015.390963 19.710000 0.613000
60015.406435 -19.392000 0.457000
60019.361925 23.144000 11.438000
60019.365529 -20.264000 0.979000
60019.371392 -17.643000 0.135000
60019.389443 -21.055000 2.638000
60022.109502 -21.767000 7.250000
60022.112223 20.686000 1.865000
60022.112674 18.806000 0.703000
60022.121202 -21.406000 3.172000
60022.122106 -22.020000 5.611000
60022.125264 -19.011000 1.145000
60022.140661 -19.660000 3.393000
60022.141112 19.194000 1.738000
60023.366815 -22.677000 8.913000
60023.369970 20.855000 1.295000
60023.373123 21.569000 2.358000
60023.383704 20.647000 1.370000
60026.076682 19.872000 0.521000
60026.079951 20.624000 2.176000
60026.089954 -19.895000 0.840000
60026.100762 -19.958000 0.285000
60027.324801 23.663000 20.083000
60027.326614 20.019000 0.683000
60027.347789 -22.794000 7.296000
60027.352990 -21.904000 3.117000
60031.361453 21.798000 2.522000
60031.363363 21.591000 2.612000
60031.366121 19.902000 0.489000
60031.393376 20.559000 0.842000
60034.064257 -21.177000 1.615000
60034.067035 -22.734000 8.667000
60034.070918 -21.153000 1.406000
60034.080655 -21.319000 1.187000
60036.103220 23.060000 8.824000
60036.105060 20.408000 0.692000
60036.107867 20.427000 0.750000
60036.113464 21.152000 1.806000
60037.293021 -20.988000 1.556000
60037.299236 20.162000 0.692000
60037.301076 -25.650000 102.000000
60037.307060 19.620000 0.675000
60039.050765 -20.731000 1.401000
60039.052598 20.379000 0.965000
60039.055327 20.650000 1.500000
60039.061315 20.159000 0.993000
60040.295424 -20.941000 2.021000
60040.297278 20.362000 1.740000
60040.302420 -18.936000 0.471000
60040.307918 21.153000 2.812000
60042.089087 -18.470000 5.833000
60042.091026 18.829000 10.873000
60042.094803 18.052000 2.137000
60042.120910 15.860000 1.668000
60046.387548 -20.449000 1.787000
60046.390749 23.904000 35.625000
60046.416707 -19.304000 0.717000
60046.420788 19.177000 0.649000
60049.287862 20.134000 0.733000
60049.291067 -21.228000 1.916000
60049.293964 22.459000 4.828000
60049.329591 19.643000 0.403000
60049.423179 19.387000 0.558000
60051.054303 -22.724000 5.720000
60051.056285 21.753000 2.328000
60051.059243 20.923000 1.387000
60051.085310 19.612000 0.343000
60052.311855 20.791000 0.670000
60052.313674 -22.981000 6.308000
60052.316882 24.172000 19.250000
