# MJD             m          dm
58636.3670255 19.6090374 0.108269431
58636.3674769 19.638485 0.110178635
58636.3679282 19.6301994 0.10964001
58636.3683796 19.916851 0.128601119
58636.368831 19.6817741 0.113009959
58636.3692824 19.637989 0.110146359
58636.3697338 19.561882 0.105245188
58636.3701852 19.8163776 0.121933699
58636.3706366 19.7317009 0.116304584
58636.3715509 19.697485 0.114043735
58636.3724537 19.532793 0.103402257
58636.3729051 19.635891 0.110009864
58636.3733565 19.6097202 0.10831356
58636.3738079 19.3826332 0.0942111909
58636.3742593 19.5465527 0.10427171
58636.3747106 19.6037426 0.107927717
58636.375162 19.7956829 0.120555639
58636.3756134 19.4931221 0.100919358
58636.3760648 19.6198673 0.108969882
58636.3765162 19.6610756 0.111652821
58636.3769676 19.6013947 0.107776411
58636.377419 19.6250153 0.109303527
58636.3778704 19.5712395 0.105841875
58636.3783218 19.5609741 0.105187446
58636.3787616 19.6792507 0.112844184
58636.3792245 19.5885887 0.106952675
58636.3796759 19.6638699 0.111835696
58636.3801273 19.5179939 0.102471747
58636.3805787 19.6314106 0.10971868
58636.3810301 19.6729107 0.112428114
58636.3814815 19.844059 0.123776443
58636.3819329 19.7155113 0.115233384
58636.3823843 19.6571426 0.111395657
58636.3828356 19.6843109 0.113176659
58636.383287 19.7099342 0.114864916
58636.3837384 19.795805 0.120563738
58636.3841898 19.6438732 0.110529535
58636.3846412 19.6751194 0.112573013
58636.3850926 19.6571522 0.111396268
58636.385544 19.678009 0.112762697
58636.3859954 19.6820984 0.113031246
58636.3864468 19.7126694 0.1150456
58636.3868981 19.7085171 0.114771403
58636.3873495 19.9430847 0.130324602
58636.3878009 19.6993198 0.114164628
58636.3882523 19.8173161 0.121996164
58636.3887037 19.6824875 0.113056801
58636.3891551 19.7764606 0.11927636
58636.3896065 19.6547241 0.111237578
58636.3900579 19.7547188 0.117831185
58636.3905093 19.6548367 0.111244902
58636.3909606 19.7281704 0.116070762
58636.391412 19.7972412 0.120659381
58636.3918634 19.4562111 0.0986431837
58636.3923148 19.5644207 0.105406903
58636.3927662 19.5890312 0.106981143
58636.3932176 19.6576538 0.111429006
58636.393669 19.6930237 0.113749892
58636.3941204 19.7004948 0.114242129
58636.3945718 19.6820107 0.113025464
58636.3950231 19.6655998 0.111948937
58636.3954745 19.7163429 0.115288287
58636.3959259 19.571394 0.105851687
58636.3963773 19.5996113 0.107661508
58636.3968287 19.9065628 0.127922356
